,precision,recall,f1-score,support
Pig__Bacterial_Erysipelas,0.4656084656084656,0.4943820224719101,0.47956403269754766,178.0
Pig__Bacterial_Greasy,0.4452054794520548,0.41139240506329117,0.4276315789473684,158.0
Pig__Environmental_Dermatitis,0.6666666666666666,0.5620915032679739,0.6099290780141844,153.0
Pig__Environmental_Sunburn,0.4972972972972973,0.5508982035928144,0.5227272727272727,167.0
Pig__Fungal_Pityriasis_Rosea,0.746031746031746,0.27167630057803466,0.3983050847457627,173.0
Pig__Fungal_Ringworm,0.5961538461538461,0.7005649717514124,0.6441558441558441,177.0
Pig__Healthy,0.7004405286343612,0.9244186046511628,0.7969924812030075,172.0
Pig__Parasitic_Mange,0.41237113402061853,0.26143790849673204,0.32,153.0
Pig__Viral_Foot_and_Mouth,0.5296803652968036,0.6904761904761905,0.599483204134367,168.0
Pig__Viral_Swinepox,0.5622119815668203,0.6740331491712708,0.6130653266331658,181.0
accuracy,0.5589285714285714,0.5589285714285714,0.5589285714285714,0.5589285714285714
macro avg,0.5621667510728681,0.5541371259520793,0.5411853903258519,1680.0
weighted avg,0.5637901003433483,0.5589285714285714,0.5441582524012903,1680.0
overall_accuracy,0.5589285714285714,0.5589285714285714,0.5589285714285714,0.5589285714285714
