,precision,recall,f1-score,support
Pig__Bacterial_Erysipelas,0.7788461538461539,0.7641509433962265,0.7714285714285715,106.0
Pig__Bacterial_Greasy,0.7211538461538461,0.7075471698113207,0.7142857142857143,106.0
Pig__Environmental_Dermatitis,0.8316831683168316,0.7924528301886793,0.8115942028985508,106.0
Pig__Environmental_Sunburn,0.7706422018348624,0.7850467289719626,0.7777777777777778,107.0
Pig__Fungal_Pityriasis_Rosea,0.8272727272727273,0.8584905660377359,0.8425925925925926,106.0
Pig__Fungal_Ringworm,0.8910891089108911,0.8490566037735849,0.8695652173913043,106.0
Pig__Healthy,0.911504424778761,0.9716981132075472,0.9406392694063926,106.0
Pig__Parasitic_Mange,0.6831683168316832,0.6571428571428571,0.6699029126213593,105.0
Pig__Viral_Foot_and_Mouth,0.9009009009009009,0.9433962264150944,0.9216589861751152,106.0
Pig__Viral_Swinepox,0.8018867924528302,0.8018867924528302,0.8018867924528302,106.0
accuracy,0.8132075471698114,0.8132075471698114,0.8132075471698114,0.8132075471698114
macro avg,0.8118147641299487,0.813086883139784,0.8121332037030209,1060.0
weighted avg,0.8118972866629706,0.8132075471698114,0.8122349724437344,1060.0
overall_accuracy,0.8132075471698114,0.8132075471698114,0.8132075471698114,0.8132075471698114
